run_id,arrival_rate,icu_beds,med_beds,cleaners,avg_occupancy_icu,avg_occupancy_med,avg_queue_icu,avg_queue_med,avg_board_icu,avg_board_med,failed_icu,failed_med
run_101,0.3,1,2,1,0.976,0.905,1.952,0.179,19.78276693876454,3.10959863142812,0,0
run_102,0.3,1,2,1,0.369,1.127,0.005,0.014,0.5362729067584695,0.5070577478848408,0,0
run_103,0.3,1,2,1,0.676,0.764,0.855,0.068,11.278045132436635,3.587822968008725,0,0
run_101,0.3,1,2,2,0.976,0.82,1.802,0.161,18.040244616076915,3.2305752606108906,0,0
run_102,0.3,1,2,2,0.356,1.015,0.005,0.014,0.5362729067584695,0.5070577478848408,0,0
run_103,0.3,1,2,2,0.631,0.755,0.715,0.068,9.354682977962423,3.5638458099169252,0,0
run_101,0.3,1,3,1,0.975,0.973,1.993,0.05,19.294684436528282,1.9395514662481321,0,0
run_102,0.3,1,3,1,0.369,1.13,0.005,0.0,0.5362729067584695,0.0,0,0
run_103,0.3,1,3,1,0.634,0.829,0.735,0.007,9.7045708391686,0.7676971110249085,0,0
run_101,0.3,1,3,2,0.975,0.848,1.531,0.025,15.049511716548253,1.4671763374405167,0,0
run_102,0.3,1,3,2,0.356,1.015,0.005,0.0,0.5362729067584695,0.0,0,0
run_103,0.3,1,3,2,0.62,0.751,0.59,0.007,7.716834324450982,0.7197427948413093,0,0
run_101,0.3,2,2,1,1.157,1.172,0.166,0.534,2.983351593175099,5.218576395710328,0,0
run_102,0.3,2,2,1,0.369,1.117,0.0,0.014,0.0,0.5070577478848408,0,0
run_103,0.3,2,2,1,0.733,0.816,0.006,0.068,0.3161367475510115,1.807633792176822,0,0
run_101,0.3,2,2,2,1.103,0.956,0.176,0.188,3.7780596944900773,2.8734840644168758,0,0
run_102,0.3,2,2,2,0.356,1.015,0.0,0.014,0.0,0.5070577478848408,0,0
run_103,0.3,2,2,2,0.677,0.701,0.001,0.041,0.07189468070970761,2.1501332861622995,0,0
run_101,0.3,2,3,1,1.239,1.157,0.178,0.086,3.828691147274264,2.303556076526591,0,0
run_102,0.3,2,3,1,0.369,1.119,0.0,0.0,0.0,0.0,0,0
run_103,0.3,2,3,1,0.733,0.875,0.006,0.009,0.3161367475510115,0.9920742876243196,0,0
run_101,0.3,2,3,2,1.19,0.93,0.165,0.021,3.5429833794086667,0.7494845717845102,0,0
run_102,0.3,2,3,2,0.356,1.015,0.0,0.0,0.0,0.0,0,0
run_103,0.3,2,3,2,0.677,0.721,0.001,0.009,0.07189468070970761,0.9920742876243196,0,0
run_101,0.5,1,2,1,0.672,1.785,6.488,2.431,23.60378326392624,9.49067873569791,1,0
run_102,0.5,1,2,1,0.818,1.572,1.655,0.574,18.569812086160656,3.0787100625442854,0,0
run_103,0.5,1,2,1,0.658,1.586,1.389,2.034,21.222433843643188,9.564245851373036,0,0
run_101,0.5,1,2,2,0.785,1.635,5.554,1.169,27.500015094946175,5.142445900445954,1,0
run_102,0.5,1,2,2,0.76,1.438,1.23,0.331,13.308715590619169,2.317592653229842,0,0
run_103,0.5,1,2,2,0.689,1.538,1.372,1.72,19.81976645113152,7.647872604718021,0,0
run_101,0.5,1,3,1,0.775,2.053,6.219,0.495,30.257945045472386,2.956783892254238,1,0
run_102,0.5,1,3,1,0.761,1.575,1.573,0.033,17.899480293322053,2.0783200416404872,0,0
run_103,0.5,1,3,1,0.757,2.051,1.47,0.76,20.007502120138884,3.762507308339393,0,0
run_101,0.5,1,3,2,0.983,1.623,5.526,0.176,33.92513503445218,2.0508984998066975,1,0
run_102,0.5,1,3,2,0.726,1.513,1.298,0.018,13.799024711097148,1.0347801467625208,0,0
run_103,0.5,1,3,2,0.68,1.724,1.431,0.243,18.63154230157692,2.5362783797338047,0,0
run_101,0.5,2,2,1,1.824,1.67,1.365,4.286,9.278292854984496,15.484725433185277,0,2
run_102,0.5,2,2,1,1.036,1.877,0.364,0.756,5.6917385386224675,3.310959882906443,0,0
run_103,0.5,2,2,1,0.727,1.63,0.187,1.756,3.1616513684654204,7.682639442344611,0,0
run_101,0.5,2,2,2,1.61,1.606,0.689,1.349,7.403776005955606,5.797410007491356,0,0
run_102,0.5,2,2,2,0.84,1.601,0.236,0.328,5.080870912002038,2.3550317507742506,0,0
run_103,0.5,2,2,2,0.653,1.462,0.065,1.432,1.8450782329281505,6.036299385266647,0,0
run_101,0.5,2,3,1,1.885,2.261,2.185,1.124,15.103610491301724,5.743711473121936,0,0
run_102,0.5,2,3,1,1.111,2.023,0.442,0.022,6.919710310594036,1.2049655241556314,0,0
run_103,0.5,2,3,1,0.841,2.06,0.389,0.464,6.0004441346392765,2.7878991818095966,0,0
run_101,0.5,2,3,2,1.579,1.61,0.715,0.223,6.401206774283441,2.3910476793708484,0,0
run_102,0.5,2,3,2,0.856,1.681,0.245,0.02,4.298474265035681,1.0347801467625208,0,0
run_103,0.5,2,3,2,0.703,1.675,0.076,0.255,1.9746576901460982,2.6545863803879213,0,0
run_101,0.7,1,2,1,0.74,1.351,9.102,6.809,29.583728914874293,13.124769409513886,3,2
run_102,0.7,1,2,1,0.899,1.331,3.058,7.868,26.731646753006064,15.780349402907072,0,2
run_103,0.7,1,2,1,0.943,1.227,2.047,9.64,17.650447032303955,12.81872545860686,0,2
run_101,0.7,1,2,2,0.634,1.845,9.573,3.512,27.828662694555124,10.50917975413043,3,0
run_102,0.7,1,2,2,0.902,1.608,2.667,2.997,23.353620169583564,10.879093111460069,0,0
run_103,0.7,1,2,2,0.937,1.435,1.905,6.451,14.906061997941853,10.255311385029263,0,2
run_101,0.7,1,3,1,0.758,2.56,9.65,1.908,32.361562543175225,6.984603686727259,3,0
run_102,0.7,1,3,1,0.842,2.899,4.589,1.36,20.062524492987272,3.760403006274969,1,0
run_103,0.7,1,3,1,0.59,2.508,4.487,3.403,21.130097975612596,11.057558752965724,1,0
run_101,0.7,1,3,2,0.659,1.978,9.18,0.362,26.421497659829782,2.1057307394781475,3,0
