time,icu_occupied,med_occupied,icu_queue,med_queue,housekeepers_busy
1.74,0,0,0,0,0
1.74,1,0,0,0,0
6.894,1,0,0,0,0
6.894,1,1,0,0,0
7.377,1,1,0,0,0
7.377,2,1,0,0,0
9.735,2,1,0,0,0
9.735,2,1,1,0,0
9.881,2,1,1,0,0
9.881,2,1,2,0,0
10.903,2,1,2,0,1
12.639,2,0,2,0,0
12.819,2,0,2,0,0
13.608,2,1,2,0,0
14.075,2,2,2,0,0
15.394,2,3,2,1,2
16.366,2,3,2,1,2
17.062,2,3,1,1,2
18.847,2,3,1,1,2
19.661,2,3,0,1,1
20.722,2,3,1,0,0
21.193,2,3,1,0,0
23.032,2,3,1,1,2
23.226,2,3,1,0,2
24.101,2,2,3,0,1
25.144,2,2,4,0,2
26.349,2,2,3,0,2
27.076,2,2,3,0,1
28.65,2,3,2,0,0
30.216,2,3,2,1,1
30.482,2,3,2,1,2
31.042,2,3,2,1,2
32.221,2,3,3,1,2
34.064,2,3,2,0,1
34.356,2,2,2,0,0
35.044,2,2,2,0,1
36.835,2,2,2,0,1
37.179,2,2,2,0,2
39.327,2,2,1,0,1
40.497,2,2,0,0,0
40.867,2,2,0,0,0
41.151,2,2,1,0,1
42.974,2,1,1,0,1
43.371,2,0,1,0,0
44.012,2,0,1,0,0
45.195,2,1,1,0,2
46.232,2,2,0,0,1
47.091,1,2,0,0,0
48.843,1,1,0,0,0
49.375,1,1,0,0,1
51.289,0,1,0,0,0
51.494,0,1,0,0,0
52.497,0,3,0,0,1
53.395,1,2,0,0,0
54.487,1,2,0,0,1
55.977,1,2,0,0,2
56.095,2,1,0,0,1
58.69,2,0,1,0,1
61.205,2,0,0,0,0
64.352,2,0,0,0,1
64.482,2,0,0,0,1
64.482,2,1,0,0,1
64.683,2,1,0,0,1
64.683,2,2,0,0,1
64.708,2,2,0,0,1
65.936,2,3,0,0,1
66.412,2,3,0,1,2
67.649,2,3,0,1,2
68.088,2,3,0,1,2
69.149,1,3,0,2,2
70.086,1,3,0,1,1
71.648,1,3,0,0,2
72.56,1,2,0,0,1
73.235,1,2,0,0,2
74.159,1,2,0,0,2
76.264,1,0,0,0,0
78.108,1,0,0,0,0
78.108,1,1,0,0,0
78.606,1,1,0,0,0
79.855,2,2,0,0,1
80.049,2,2,0,0,1
81.412,2,2,0,0,0
82.374,2,2,0,0,0
83.611,2,3,0,0,2
84.511,2,3,1,0,2
85.287,2,3,0,1,2
86.527,2,3,1,0,2
88.937,2,2,1,0,2
89.07,2,2,0,0,1
90.61,2,2,0,0,2
90.61,2,1,0,0,1
91.8,2,1,0,0,2
93.064,2,1,0,0,2
93.559,1,1,0,0,2
95.416,0,0,0,0,0
95.864,0,0,0,0,0
98.061,0,1,0,0,0
98.061,1,1,0,0,0
98.817,1,1,0,0,1
100.172,1,0,0,0,0
105.535,1,0,0,0,1
107.406,0,0,0,0,0
